Report Date,Crime Category,count
2009-02-23,Larceny-From Vehicle,18
2009-02-23,Larceny-Non Vehicle,24
2009-02-23,Robbery,3
2009-02-24,Agg Assault,7
2009-02-24,Auto Theft,11
2009-02-24,Burglary,21
2009-02-24,Larceny-From Vehicle,28
2009-02-24,Larceny-Non Vehicle,28
2009-02-24,Robbery,4
2009-02-25,Agg Assault,13
2009-02-25,Auto Theft,13
2009-02-25,Burglary,25
2009-02-25,Larceny-From Vehicle,30
2009-02-25,Larceny-Non Vehicle,21
2009-02-25,Robbery,3
2009-02-26,Agg Assault,5
2009-02-26,Auto Theft,15
2009-02-26,Burglary,21
2009-02-26,Larceny-From Vehicle,36
2009-02-26,Larceny-Non Vehicle,22
2009-02-26,Robbery,4
2009-02-27,Agg Assault,8
2009-02-27,Auto Theft,16
2009-02-27,Burglary,18
2009-02-27,Larceny-From Vehicle,30
2009-02-27,Larceny-Non Vehicle,19
2009-02-27,Robbery,8
2009-02-28,Agg Assault,9
2009-02-28,Auto Theft,10
2009-02-28,Burglary,15
2009-02-28,Larceny-From Vehicle,19
2009-02-28,Larceny-Non Vehicle,17
2009-02-28,Robbery,5
2009-03-01,Agg Assault,5
2009-03-01,Auto Theft,7
2009-03-01,Burglary,9
2009-03-01,Larceny-From Vehicle,21
2009-03-01,Larceny-Non Vehicle,12
2009-03-01,Robbery,3
2009-03-02,Agg Assault,11
2009-03-02,Auto Theft,7
2009-03-02,Burglary,15
2009-03-02,Larceny-From Vehicle,31
2009-03-02,Larceny-Non Vehicle,34
2009-03-02,Robbery,8
2009-03-03,Agg Assault,7
2009-03-03,Auto Theft,18
2009-03-03,Burglary,18
2009-03-03,Homicide,1
2009-03-03,Larceny-From Vehicle,24
2009-03-03,Larceny-Non Vehicle,21
2009-03-03,Robbery,5
2009-03-04,Agg Assault,4
2009-03-04,Auto Theft,12
2009-03-04,Burglary,17
2009-03-04,Larceny-From Vehicle,22
2009-03-04,Larceny-Non Vehicle,22
2009-03-04,Robbery,3
2009-03-05,Agg Assault,3
2009-03-05,Auto Theft,13
2009-03-05,Burglary,21
2009-03-05,Larceny-From Vehicle,23
2009-03-05,Larceny-Non Vehicle,23
2009-03-05,Robbery,10
2009-03-06,Agg Assault,11
2009-03-06,Auto Theft,15
2009-03-06,Burglary,17
2009-03-06,Larceny-From Vehicle,36
2009-03-06,Larceny-Non Vehicle,17
2009-03-06,Robbery,6
2009-03-07,Agg Assault,7
2009-03-07,Auto Theft,13
2009-03-07,Burglary,19
2009-03-07,Homicide,1
2009-03-07,Larceny-From Vehicle,26
2009-03-07,Larceny-Non Vehicle,17
2009-03-07,Robbery,4
2009-03-08,Agg Assault,12
2009-03-08,Auto Theft,8
2009-03-08,Burglary,16
2009-03-08,Larceny-From Vehicle,24
2009-03-08,Larceny-Non Vehicle,17
2009-03-08,Robbery,3
2009-03-09,Agg Assault,8
2009-03-09,Auto Theft,17
